관측소명,날짜,EL
JQ성산21,2024-02-23,0.53
JQ성산21,2024-02-24,0.65
JQ성산21,2024-02-25,0.82
JQ성산21,2024-02-26,0.98
JQ성산21,2024-02-27,1.12
JQ성산21,2024-02-28,1.22
JQ성산21,2024-02-29,1.29
JQ성산21,2024-03-01,1.32
JQ성산21,2024-03-02,1.32
JQ성산21,2024-03-03,1.3
JQ성산21,2024-03-04,1.28
JQ성산21,2024-03-05,1.3
JQ성산21,2024-03-06,1.3
JQ성산21,2024-03-07,1.31
JQ성산21,2024-03-08,1.29
JQ성산21,2024-03-09,1.24
JQ성산21,2024-03-10,1.19
JQ성산21,2024-03-11,1.16
JQ성산21,2024-03-12,1.13
JQ성산21,2024-03-13,1.09
JQ성산21,2024-03-14,1.05
JQ성산21,2024-03-15,1.01
JQ성산21,2024-03-16,0.97
JQ성산21,2024-03-17,0.93
JQ성산21,2024-03-18,0.89
JQ성산21,2024-03-19,0.86
JQ성산21,2024-03-20,0.82
JQ성산21,2024-03-21,0.8
JQ성산21,2024-03-22,0.78
JQ성산21,2024-03-23,0.78
JQ성산21,2024-03-24,0.77
JQ성산21,2024-03-25,0.77
JQ성산21,2024-03-26,0.75
JQ성산21,2024-03-27,0.74
JQ성산21,2024-03-28,0.75
JQ성산21,2024-03-29,0.74
JQ성산21,2024-03-30,0.75
JQ성산21,2024-03-31,0.75
JQ성산21,2024-04-01,0.75
JQ성산21,2024-04-02,0.75
JQ성산21,2024-04-03,0.78
JQ성산21,2024-04-04,0.86
JQ성산21,2024-04-05,0.92
JQ성산21,2024-04-06,0.93
JQ성산21,2024-04-07,0.92
JQ성산21,2024-04-08,0.9
JQ성산21,2024-04-09,0.88
JQ성산21,2024-04-10,0.86
JQ성산21,2024-04-11,0.84
JQ성산21,2024-04-12,0.81
JQ성산21,2024-04-13,0.78
JQ성산21,2024-04-14,0.76
JQ성산21,2024-04-15,0.76
JQ성산21,2024-04-16,0.69
JQ성산21,2024-04-17,0.62
JQ성산21,2024-04-18,0.62
JQ성산21,2024-04-19,0.61
JQ성산21,2024-04-20,0.6
JQ성산21,2024-04-21,0.6
JQ성산21,2024-04-22,0.59
JQ성산21,2024-04-23,0.58
JQ성산21,2024-04-24,0.57
JQ성산21,2024-04-25,0.55
JQ성산21,2024-04-26,0.53
JQ성산21,2024-04-27,0.52
JQ성산21,2024-04-28,0.5
JQ성산21,2024-04-29,0.5
JQ성산21,2024-04-30,0.51
JQ성산21,2024-05-01,0.52
JQ성산21,2024-05-02,0.51
JQ성산21,2024-05-03,0.5
JQ성산21,2024-05-04,0.48
JQ성산21,2024-05-05,0.47
JQ성산21,2024-05-06,0.5
JQ성산21,2024-05-07,0.56
JQ성산21,2024-05-08,0.63
JQ성산21,2024-05-09,0.69
JQ성산21,2024-05-10,0.73
JQ성산21,2024-05-11,0.75
JQ성산21,2024-05-12,0.76
JQ성산21,2024-05-13,0.77
JQ성산21,2024-05-14,0.78
JQ성산21,2024-05-15,0.78
JQ성산21,2024-05-16,0.76
JQ성산21,2024-05-17,0.75
JQ성산21,2024-05-18,0.74
JQ성산21,2024-05-19,0.73
JQ성산21,2024-05-20,0.72
JQ성산21,2024-05-21,0.7
JQ성산21,2024-05-22,0.69
JQ성산21,2024-05-23,0.68
JQ성산21,2024-05-24,0.66
JQ성산21,2024-05-25,0.65
JQ성산21,2024-05-26,0.66
JQ성산21,2024-05-27,0.66
JQ성산21,2024-05-28,0.66
JQ성산21,2024-05-29,0.66
JQ성산21,2024-05-30,0.65
JQ성산21,2024-05-31,0.64
JQ성산21,2024-06-01,0.62
JQ성산21,2024-06-02,0.6
JQ성산21,2024-06-03,0.58
JQ성산21,2024-06-04,0.57
JQ성산21,2024-06-05,0.55
JQ성산21,2024-06-06,0.54
JQ성산21,2024-06-07,0.52
JQ성산21,2024-06-08,0.52
JQ성산21,2024-06-09,0.52
JQ성산21,2024-06-10,0.53
JQ성산21,2024-06-11,0.52
JQ성산21,2024-06-12,0.52
JQ성산21,2024-06-13,0.51
JQ성산21,2024-06-14,0.52
JQ성산21,2024-06-15,0.52
JQ성산21,2024-06-16,0.51
JQ성산21,2024-06-17,0.5
JQ성산21,2024-06-18,0.49
JQ성산21,2024-06-19,0.47
JQ성산21,2024-06-20,0.47
JQ성산21,2024-06-21,0.5
JQ성산21,2024-06-22,0.54
JQ성산21,2024-06-23,0.56
JQ성산21,2024-06-24,0.63
JQ성산21,2024-06-25,0.68
JQ성산21,2024-06-26,0.69
JQ성산21,2024-06-27,0.69
JQ성산21,2024-06-28,0.68
JQ성산21,2024-06-29,0.7
JQ성산21,2024-06-30,0.88
JQ성산21,2024-07-01,1.12
JQ성산21,2024-07-02,1.33
JQ성산21,2024-07-03,1.45
JQ성산21,2024-07-04,1.5
JQ성산21,2024-07-05,1.46
JQ성산21,2024-07-06,1.39
JQ성산21,2024-07-07,1.36
JQ성산21,2024-07-08,1.32
JQ성산21,2024-07-09,1.29
JQ성산21,2024-07-10,1.26
JQ성산21,2024-07-11,1.23
JQ성산21,2024-07-12,1.21
JQ성산21,2024-07-13,1.17
JQ성산21,2024-07-14,1.14
JQ성산21,2024-07-15,1.11
JQ성산21,2024-07-16,1.09
JQ성산21,2024-07-17,1.12
JQ성산21,2024-07-18,1.16
JQ성산21,2024-07-19,1.21
JQ성산21,2024-07-20,1.25
JQ성산21,2024-07-21,1.26
JQ성산21,2024-07-22,1.27
JQ성산21,2024-07-23,1.26
JQ성산21,2024-07-24,1.25
JQ성산21,2024-07-25,1.23
JQ성산21,2024-07-26,1.21
JQ성산21,2024-07-27,1.18
JQ성산21,2024-07-28,1.16
JQ성산21,2024-07-29,1.14
JQ성산21,2024-07-30,1.13
JQ성산21,2024-07-31,1.12
JQ성산21,2024-08-01,1.13
JQ성산21,2024-08-02,1.12
JQ성산21,2024-08-03,1.11
JQ성산21,2024-08-04,1.09
JQ성산21,2024-08-05,1.07
JQ성산21,2024-08-06,1.05
JQ성산21,2024-08-07,1.02
JQ성산21,2024-08-08,1.0
JQ성산21,2024-08-09,0.98
JQ성산21,2024-08-10,0.96
JQ성산21,2024-08-11,0.94
JQ성산21,2024-08-12,0.92
JQ성산21,2024-08-13,0.9
JQ성산21,2024-08-14,0.88
JQ성산21,2024-08-15,0.85
JQ성산21,2024-08-16,0.83
JQ성산21,2024-08-17,0.8
JQ성산21,2024-08-18,0.79
JQ성산21,2024-08-19,0.8
JQ성산21,2024-08-20,0.79
JQ성산21,2024-08-21,0.77
JQ성산21,2024-08-22,0.76
JQ성산21,2024-08-23,0.74
JQ성산21,2024-08-24,0.71
JQ성산21,2024-08-25,0.69
JQ성산21,2024-08-26,0.67
JQ성산21,2024-08-27,0.66
JQ성산21,2024-08-28,0.66
JQ성산21,2024-08-29,0.67
JQ성산21,2024-08-30,0.65
JQ성산21,2024-08-31,0.63
JQ성산21,2024-09-01,0.6
JQ성산21,2024-09-02,0.57
JQ성산21,2024-09-03,0.54
JQ성산21,2024-09-04,0.52
JQ성산21,2024-09-05,0.5
JQ성산21,2024-09-06,0.48
JQ성산21,2024-09-07,0.45
JQ성산21,2024-09-08,0.43
JQ성산21,2024-09-09,0.41
JQ성산21,2024-09-10,0.41
JQ성산21,2024-09-11,0.41
JQ성산21,2024-09-12,0.4
JQ성산21,2024-09-13,0.39
JQ성산21,2024-09-14,0.39
JQ성산21,2024-09-15,0.4
JQ성산21,2024-09-16,0.4
JQ성산21,2024-09-17,0.4
JQ성산21,2024-09-18,0.38
JQ성산21,2024-09-19,0.36
JQ성산21,2024-09-20,0.39
JQ성산21,2024-09-21,0.5
JQ성산21,2024-09-22,0.57
JQ성산21,2024-09-23,0.62
JQ성산21,2024-09-24,0.64
JQ성산21,2024-09-25,0.65
JQ성산21,2024-09-26,0.65
JQ성산21,2024-09-27,0.65
JQ성산21,2024-09-28,0.64
JQ성산21,2024-09-29,0.65
JQ성산21,2024-09-30,0.64
JQ성산21,2024-10-01,0.63
JQ성산21,2024-10-02,0.61
JQ성산21,2024-10-03,0.61
JQ성산21,2024-10-04,0.6
JQ성산21,2024-10-05,0.58
JQ성산21,2024-10-06,0.56
JQ성산21,2024-10-07,0.55
JQ성산21,2024-10-08,0.53
JQ성산21,2024-10-09,0.53
JQ성산21,2024-10-10,0.54
JQ성산21,2024-10-11,0.53
JQ성산21,2024-10-12,0.52
JQ성산21,2024-10-13,0.51
JQ성산21,2024-10-14,0.5
JQ성산21,2024-10-15,0.48
JQ성산21,2024-10-16,0.47
JQ성산21,2024-10-17,0.47
JQ성산21,2024-10-18,0.47
JQ성산21,2024-10-19,0.45
JQ성산21,2024-10-20,0.45
JQ성산21,2024-10-21,0.46
JQ성산21,2024-10-22,0.46
JQ성산21,2024-10-23,0.48
JQ성산21,2024-10-24,0.51
JQ성산21,2024-10-25,0.54
JQ성산21,2024-10-26,0.57
JQ성산21,2024-10-27,0.58
JQ성산21,2024-10-28,0.58
JQ성산21,2024-10-29,0.6
JQ성산21,2024-10-30,0.61
JQ성산21,2024-10-31,0.61
JQ성산21,2024-11-01,0.62
JQ성산21,2024-11-02,0.96
JQ성산21,2024-11-03,1.65
JQ성산21,2024-11-04,2.07
JQ성산21,2024-11-05,2.24
JQ성산21,2024-11-06,2.26
JQ성산21,2024-11-07,2.22
JQ성산21,2024-11-08,2.14
JQ성산21,2024-11-09,2.06
JQ성산21,2024-11-10,1.98
JQ성산21,2024-11-11,1.91
JQ성산21,2024-11-12,1.84
JQ성산21,2024-11-13,1.77
JQ성산21,2024-11-14,1.72
JQ성산21,2024-11-15,1.67
JQ성산21,2024-11-16,1.62
JQ성산21,2024-11-17,1.56
JQ성산21,2024-11-18,1.49
JQ성산21,2024-11-19,1.42
JQ성산21,2024-11-20,1.36
JQ성산21,2024-11-21,1.29
JQ성산21,2024-11-22,1.22
JQ성산21,2024-11-23,1.15
JQ성산21,2024-11-24,1.09
JQ성산21,2024-11-25,1.04
JQ성산21,2024-11-26,1.01
JQ성산21,2024-11-27,0.98
JQ성산21,2024-11-28,0.94
JQ성산21,2024-11-29,0.91
JQ성산21,2024-11-30,0.89
JQ성산21,2024-12-01,0.88
JQ성산21,2024-12-02,0.86
JQ성산21,2024-12-03,0.84
JQ성산21,2024-12-04,0.82
JQ성산21,2024-12-05,0.8
JQ성산21,2024-12-06,0.77
JQ성산21,2024-12-07,0.74
JQ성산21,2024-12-08,0.71
JQ성산21,2024-12-09,0.67
JQ성산21,2024-12-10,0.64
JQ성산21,2024-12-11,0.62
JQ성산21,2024-12-12,0.59
JQ성산21,2024-12-13,0.58
JQ성산21,2024-12-14,0.55
JQ성산21,2024-12-15,0.54
JQ성산21,2024-12-16,0.52
JQ성산21,2024-12-17,0.5
JQ성산21,2024-12-18,0.49
JQ성산21,2024-12-19,0.47
JQ성산21,2024-12-20,0.46
JQ성산21,2024-12-21,0.45
JQ성산21,2024-12-22,0.43
JQ성산21,2024-12-23,0.42
JQ성산21,2024-12-24,0.4
JQ성산21,2024-12-25,0.39
JQ성산21,2024-12-26,0.39
JQ성산21,2024-12-27,0.37
JQ성산21,2024-12-28,0.35
JQ성산21,2024-12-29,0.34
JQ성산21,2024-12-30,0.33
JQ성산21,2024-12-31,0.34
JQ성산21,2025-01-01,0.34
JQ성산21,2025-01-02,0.34
JQ성산21,2025-01-03,0.34
JQ성산21,2025-01-04,0.33
JQ성산21,2025-01-05,0.33
JQ성산21,2025-01-06,0.33
JQ성산21,2025-01-07,0.32
JQ성산21,2025-01-08,0.31
JQ성산21,2025-01-09,0.3
JQ성산21,2025-01-10,0.28
JQ성산21,2025-01-11,0.26
JQ성산21,2025-01-12,0.25
JQ성산21,2025-01-13,0.24
JQ성산21,2025-01-14,0.23
JQ성산21,2025-01-15,0.22
JQ성산21,2025-01-16,0.21
JQ성산21,2025-01-17,0.2
JQ성산21,2025-01-18,0.2
JQ성산21,2025-01-19,0.2
JQ성산21,2025-01-20,0.2
JQ성산21,2025-01-21,0.22
JQ성산21,2025-01-22,0.21
JQ성산21,2025-01-23,0.21
JQ성산21,2025-01-24,0.2
JQ성산21,2025-01-25,0.21
JQ성산21,2025-01-26,0.22
JQ성산21,2025-01-27,0.23
JQ성산21,2025-01-28,0.21
JQ성산21,2025-01-29,0.19
JQ성산21,2025-01-30,0.17
JQ성산21,2025-01-31,0.16
JQ성산21,2025-02-01,0.17
JQ성산21,2025-02-02,0.19
JQ성산21,2025-02-03,0.19
JQ성산21,2025-02-04,0.17
JQ성산21,2025-02-05,0.14
JQ성산21,2025-02-06,0.12
JQ성산21,2025-02-07,0.1
JQ성산21,2025-02-08,0.07
JQ성산21,2025-02-09,0.05
JQ성산21,2025-02-10,0.03
JQ성산21,2025-02-11,0.02
JQ성산21,2025-02-12,0.03
JQ성산21,2025-02-13,0.01
JQ성산21,2025-02-14,0.0
JQ성산21,2025-02-15,0.0
JQ성산21,2025-02-16,0.01
JQ성산21,2025-02-17,0.01
JQ성산21,2025-02-18,0.0
JQ성산21,2025-02-19,-0.01
JQ성산21,2025-02-20,-0.01
JQ성산21,2025-02-21,-0.02
JQ성산21,2025-02-22,-0.03
JQ성산21,2025-02-23,-0.04
JQ성산21,2025-02-24,-0.05
JQ성산21,2025-02-25,-0.06
JQ성산21,2025-02-26,-0.07
JQ성산21,2025-02-27,-0.07
JQ성산21,2025-02-28,-0.06
JQ성산21,2025-03-01,-0.04
JQ성산21,2025-03-02,-0.02
JQ성산21,2025-03-03,0.01
JQ성산21,2025-03-04,0.06
JQ성산21,2025-03-05,0.08
JQ성산21,2025-03-06,0.08
JQ성산21,2025-03-07,0.06
JQ성산21,2025-03-08,0.06
JQ성산21,2025-03-09,0.05
JQ성산21,2025-03-10,0.05
JQ성산21,2025-03-11,0.05
JQ성산21,2025-03-12,0.05
JQ성산21,2025-03-13,0.06
JQ성산21,2025-03-14,0.07
JQ성산21,2025-03-15,0.09
JQ성산21,2025-03-16,0.11
JQ성산21,2025-03-17,0.1
JQ성산21,2025-03-18,0.09
JQ성산21,2025-03-19,0.08
JQ성산21,2025-03-20,0.07
JQ성산21,2025-03-21,0.07
JQ성산21,2025-03-22,0.06
JQ성산21,2025-03-23,0.06
JQ성산21,2025-03-24,0.09
JQ성산21,2025-03-25,0.12
JQ성산21,2025-03-26,0.15
JQ성산21,2025-03-27,0.18
JQ성산21,2025-03-28,0.19
JQ성산21,2025-03-29,0.18
JQ성산21,2025-03-30,0.16
JQ성산21,2025-03-31,0.13
JQ성산21,2025-04-01,0.12
JQ성산21,2025-04-02,0.11
JQ성산21,2025-04-03,0.1
JQ성산21,2025-04-04,0.09
JQ성산21,2025-04-05,0.09
JQ성산21,2025-04-06,0.08
JQ성산21,2025-04-07,0.08
JQ성산21,2025-04-08,0.09
JQ성산21,2025-04-09,0.08
JQ성산21,2025-04-10,0.09
JQ성산21,2025-04-11,0.1
JQ성산21,2025-04-12,0.12
JQ성산21,2025-04-13,0.12
JQ성산21,2025-04-14,0.13
JQ성산21,2025-04-15,0.13
JQ성산21,2025-04-16,0.12
JQ성산21,2025-04-17,0.13
JQ성산21,2025-04-18,0.13
JQ성산21,2025-04-19,0.13
JQ성산21,2025-04-20,0.13
JQ성산21,2025-04-21,0.13
JQ성산21,2025-04-22,0.13
JQ성산21,2025-04-23,0.14
JQ성산21,2025-04-24,0.14
JQ성산21,2025-04-25,0.12
JQ성산21,2025-04-26,0.1
JQ성산21,2025-04-27,0.08
JQ성산21,2025-04-28,0.07
JQ성산21,2025-04-29,0.07
JQ성산21,2025-04-30,0.07
JQ성산21,2025-05-01,0.09
JQ성산21,2025-05-02,0.1
JQ성산21,2025-05-03,0.1
JQ성산21,2025-05-04,0.1
JQ성산21,2025-05-05,0.1
JQ성산21,2025-05-06,0.11
JQ성산21,2025-05-07,0.12
JQ성산21,2025-05-08,0.11
JQ성산21,2025-05-09,0.12
JQ성산21,2025-05-10,0.17
JQ성산21,2025-05-11,0.21
JQ성산21,2025-05-12,0.23
JQ성산21,2025-05-13,0.23
JQ성산21,2025-05-14,0.23
JQ성산21,2025-05-15,0.21
JQ성산21,2025-05-16,0.21
JQ성산21,2025-05-17,0.21
JQ성산21,2025-05-18,0.23
JQ성산21,2025-05-19,0.25
JQ성산21,2025-05-20,0.27
JQ성산21,2025-05-21,0.28
JQ성산21,2025-05-22,0.3
JQ성산21,2025-05-23,0.32
