연월,EL_평균,관측소_수
2007-01,7.15,5
2007-02,6.846,5
2007-03,6.758,5
2007-04,6.292,5
2007-05,6.476,5
2007-06,6.25,5
2007-07,8.212,5
2007-08,7.698,5
2007-09,7.624,5
2007-10,6.628,5
2007-11,5.264,8
2007-12,5.296,8
2008-01,8.482,9
2008-02,8.086,9
2008-03,7.847,9
2008-04,7.723,9
2008-05,7.057,9
2008-06,8.022,9
2008-07,8.571,9
2008-08,7.927,9
2008-09,7.179,9
2008-10,6.443,9
2008-11,7.001,9
2008-12,16.47,11
2009-01,16.06,11
2009-02,7.662,10
2009-03,8.116,10
2009-04,15.921,11
2009-05,15.873,11
2009-06,16.132,11
2009-07,17.218,11
2009-08,17.309,11
2009-09,16.108,11
2009-10,16.144,11
2009-11,16.607,11
2009-12,16.361,11
2010-01,15.674,11
2010-02,15.694,11
2010-03,15.89,11
2010-04,16.759,11
2010-05,16.674,11
2010-06,16.686,11
2010-07,18.615,11
2010-08,19.112,11
2010-09,20.963,11
2010-10,22.015,10
2010-11,19.742,11
2010-12,19.57,11
2011-01,19.094,11
2011-02,18.335,11
2011-03,17.605,11
2011-04,17.217,11
2011-05,16.828,11
2011-06,17.317,11
2011-07,18.535,11
2011-08,18.451,11
2011-09,17.048,11
2011-10,16.433,11
2011-11,18.148,11
2011-12,20.489,9
2012-01,17.304,11
2012-02,16.823,11
2012-03,16.781,11
2012-04,17.453,11
2012-05,18.144,11
2012-06,17.727,11
2012-07,18.155,11
2012-08,18.259,11
2012-09,20.586,11
2012-10,19.447,11
2012-11,19.918,11
2012-12,16.841,13
2013-01,15.387,14
2013-02,14.934,14
2013-03,14.623,14
2013-04,14.126,14
2013-05,14.283,14
2013-06,14.666,14
2013-07,14.406,14
2013-08,13.794,14
2013-09,12.526,14
2013-10,12.409,14
2013-11,12.598,14
2013-12,12.805,14
2014-01,12.27,14
2014-02,12.17,14
2014-03,12.101,14
2014-04,12.189,14
2014-05,12.761,14
2014-06,13.323,14
2014-07,14.284,14
2014-08,15.046,14
2014-09,14.877,14
2014-10,14.417,14
2014-11,14.256,14
2014-12,14.11,14
2015-01,13.784,14
2015-02,14.402,13
2015-03,13.621,14
2015-04,14.1,14
2015-05,15.573,14
2015-06,16.888,13
2015-07,16.775,14
2015-08,16.246,14
2015-09,15.467,14
2015-10,15.134,14
2015-11,15.146,14
2015-12,15.066,14
2016-01,14.527,14
2016-02,14.435,14
2016-03,17.296,12
2016-04,14.921,14
2016-05,15.368,14
2016-06,15.399,14
2016-07,16.45,14
2016-08,15.784,14
2016-09,14.915,14
2016-10,15.542,14
2016-11,15.075,14
2016-12,14.4,14
2017-01,14.061,14
2017-02,13.523,14
2017-03,12.958,14
2017-04,13.106,14
2017-05,12.518,14
2017-06,12.42,14
2017-07,12.181,14
2017-08,12.034,14
2017-09,11.457,14
2017-10,12.126,14
2017-11,10.982,14
2017-12,11.09,14
2018-01,11.071,14
2018-02,10.739,14
2018-03,11.339,14
2018-04,11.399,14
2018-05,13.415,14
2018-06,13.293,14
2018-07,13.401,14
2018-08,12.986,14
2018-09,13.607,14
2018-10,13.209,14
2018-11,13.036,14
2018-12,13.03,14
2019-01,12.522,14
2019-02,12.272,14
2019-03,11.856,14
2019-04,11.069,14
2019-05,10.802,14
2019-06,11.567,14
2019-07,12.715,14
2019-08,12.911,14
2019-09,15.554,14
2019-10,15.525,14
2019-11,10.508,20
2019-12,10.558,20
2020-01,10.44,20
2020-02,10.142,20
2020-03,9.908,20
2020-04,9.418,20
2020-05,9.558,20
2020-06,9.993,20
2020-07,11.461,20
2020-08,10.95,20
2020-09,12.026,20
2020-10,11.138,20
2020-11,10.972,20
2020-12,10.556,20
2021-01,10.545,20
2021-02,10.345,20
2021-03,10.076,20
2021-04,10.066,20
2021-05,9.944,20
2021-06,10.176,20
2021-07,10.256,20
2021-08,10.072,20
2021-09,10.774,20
2021-10,9.834,20
2021-11,9.726,20
2021-12,9.608,20
2022-01,9.357,20
2022-02,8.817,20
2022-03,8.545,20
2022-04,8.442,20
2022-05,8.26,20
2022-06,8.38,20
2022-07,8.808,20
2022-08,9.246,20
2022-09,9.617,20
2022-10,8.143,20
2022-11,8.018,20
2022-12,8.193,20
2023-01,7.98,20
2023-02,8.072,20
2023-03,7.8,20
2023-04,8.216,20
2023-05,9.58,20
2023-06,10.186,20
2023-07,10.996,20
2023-08,10.775,20
2023-09,11.509,20
2023-10,10.412,20
2023-11,10.641,20
2023-12,10.572,20
2024-01,10.218,20
2024-02,9.993,20
2024-03,9.612,20
2024-04,9.588,20
2024-05,9.983,20
2024-06,10.258,20
2024-07,11.512,20
2024-08,10.806,20
2024-09,10.258,20
2024-10,10.102,20
2024-11,10.909,20
2024-12,10.192,20
2025-01,9.849,20
2025-02,9.731,20
2025-03,9.482,20
2025-04,9.104,20
2025-05,9.512,20
2025-06,9.576,20
2025-07,9.183,20
2025-08,8.8,20
2025-09,8.439,20
2025-10,8.044,20
2025-11,7.693,20
2025-12,7.74,20
2026-01,7.568,20
2026-02,7.403,20
2026-03,7.757,20
2026-04,8.238,20
